Date,Open,High,Low,Close,Adj Close,Volume
09-10-2019,1308.699951,1329.949951,1292.5,1324.75,1324.75,8040938
10-10-2019,1325,1369,1321,1362.75,1362.75,16003744
11-10-2019,1363.699951,1365.599976,1336.550049,1352.599976,1352.599976,7587648
14-10-2019,1364.949951,1364.949951,1350.849976,1358,1358,6123412
15-10-2019,1362.5,1370,1354.300049,1364.150024,1364.150024,4422075
16-10-2019,1369.900024,1379.650024,1363.699951,1372.349976,1372.349976,8870701
17-10-2019,1375,1399,1372,1396.5,1396.5,7332464
18-10-2019,1404,1427.900024,1398.699951,1416.349976,1416.349976,12856410
22-10-2019,1425,1436.849976,1403.349976,1414.150024,1414.150024,12703054
23-10-2019,1416.300049,1425.949951,1383.150024,1392.400024,1392.400024,8432964
24-10-2019,1401,1441.400024,1386.550049,1436.449951,1436.449951,10351384
25-10-2019,1441.099976,1441.449951,1411.25,1431.199951,1431.199951,6190013
27-10-2019,null,null,null,null,null,null
29-10-2019,1445.5,1480,1442.099976,1467.050049,1467.050049,11780494
30-10-2019,1480,1484.550049,1460.300049,1479.099976,1479.099976,7470723
31-10-2019,1484,1489.650024,1461.699951,1464.349976,1464.349976,8898168
01-11-2019,1455,1461.800049,1441,1456.900024,1456.900024,6356579
04-11-2019,1465.900024,1471,1445.099976,1457.650024,1457.650024,6429329
05-11-2019,1463.099976,1468.949951,1441,1447.300049,1447.300049,5799318
06-11-2019,1442.699951,1446.449951,1428.5,1434.900024,1434.900024,6686289
07-11-2019,1435,1463,1432.199951,1458.599976,1458.599976,6438749
08-11-2019,1449,1459.650024,1441.300049,1445.5,1445.5,5494844
11-11-2019,1439.099976,1444.25,1422.550049,1427.800049,1427.800049,5192423
13-11-2019,1430,1475.900024,1430,1472.300049,1472.300049,11532364
14-11-2019,1476,1481.599976,1455.800049,1462.75,1462.75,6518339
15-11-2019,1465.650024,1486.800049,1463.150024,1470.849976,1470.849976,7173674
18-11-2019,1472.650024,1486,1455.400024,1459.199951,1459.199951,6435097
19-11-2019,1467,1514.900024,1465,1509.75,1509.75,13795569
20-11-2019,1555.050049,1572.400024,1543.199951,1547.650024,1547.650024,19904164
21-11-2019,1545,1556,1528.550049,1537.599976,1537.599976,6810577
22-11-2019,1542.099976,1569.5,1537.599976,1546.5,1546.5,10218978
25-11-2019,1551.150024,1564.800049,1551,1561.550049,1561.550049,6924313
26-11-2019,1568.099976,1576.349976,1556,1560.25,1560.25,16152137
27-11-2019,1559.949951,1575.5,1556.099976,1569.849976,1569.849976,4408336
28-11-2019,1572.650024,1584.150024,1563.949951,1580.300049,1580.300049,6284885
29-11-2019,1581.949951,1581.949951,1547.849976,1551.150024,1551.150024,8484822
02-12-2019,1600,1614.449951,1577,1586.5,1586.5,14275186
03-12-2019,1592.75,1594,1572.599976,1578.900024,1578.900024,5938786
04-12-2019,1573,1577.5,1533.75,1552.699951,1552.699951,9594828
05-12-2019,1574,1579.75,1544,1550.849976,1550.849976,9117022
06-12-2019,1553,1568,1541.099976,1554.900024,1554.900024,5982129
09-12-2019,1556.150024,1577.400024,1546.5,1572.599976,1572.599976,5779807
10-12-2019,1572.050049,1573.599976,1554.150024,1561.949951,1561.949951,4650906
11-12-2019,1555.599976,1574.5,1550.599976,1562.400024,1562.400024,5652698
12-12-2019,1570.25,1573.849976,1556.650024,1568.199951,1568.199951,4720977
13-12-2019,1580,1590,1572.400024,1582.900024,1582.900024,5791522
16-12-2019,1592,1593.900024,1564.349976,1566.599976,1566.599976,5436951
17-12-2019,1566.75,1579,1555.550049,1562.699951,1562.699951,9291724
18-12-2019,1563,1580,1562,1575.849976,1575.849976,6739582
19-12-2019,1573.699951,1614.900024,1571.800049,1609.949951,1609.949951,9375484
20-12-2019,1615,1617.550049,1596.099976,1599.099976,1599.099976,9724619
23-12-2019,1560.099976,1577.550049,1557.800049,1571.400024,1571.400024,11478429
24-12-2019,1568.900024,1572.050049,1542.5,1546.449951,1546.449951,8251144
26-12-2019,1541.650024,1552.949951,1510.150024,1515.400024,1515.400024,13605737
27-12-2019,1527,1546.199951,1521.300049,1542.349976,1542.349976,8081591
30-12-2019,1545.949951,1547.650024,1528.050049,1544.199951,1544.199951,7828402
31-12-2019,1542,1543.699951,1508.050049,1514.050049,1514.050049,10150467
01-01-2020,1518,1527.099976,1505.5,1509.599976,1509.599976,6402372
02-01-2020,1512,1540.949951,1512,1535.300049,1535.300049,8096561
03-01-2020,1533,1541.650024,1523,1537.150024,1537.150024,9593498
06-01-2020,1520,1527.900024,1498,1501.5,1501.5,11209343
07-01-2020,1519,1534.5,1513.5,1524.599976,1524.599976,7627191
08-01-2020,1515,1534.449951,1510,1513.150024,1513.150024,7336561
09-01-2020,1538.599976,1550,1531.25,1548,1548,6849606
10-01-2020,1551.900024,1557.949951,1539.650024,1547.650024,1547.650024,5704686
13-01-2020,1545.050049,1558.699951,1538.400024,1543.699951,1543.699951,8358090
14-01-2020,1540,1550,1521.849976,1529.400024,1529.400024,7230788
15-01-2020,1535.849976,1539.900024,1518.25,1523.849976,1523.849976,7231393
16-01-2020,1529,1543.349976,1528,1537.900024,1537.900024,5873662
17-01-2020,1553.5,1584.949951,1553.199951,1581,1581,13469708
20-01-2020,1609,1609,1526.400024,1532.349976,1532.349976,14878868
21-01-2020,1528.599976,1545.849976,1522,1533.900024,1533.900024,8650831
22-01-2020,1544,1546.75,1531.099976,1533.349976,1533.349976,4719245
23-01-2020,1536.5,1541.949951,1520.699951,1526.849976,1526.849976,5142088
24-01-2020,1527,1536.349976,1518.550049,1521.550049,1521.550049,6687633
27-01-2020,1514.900024,1524.449951,1505,1506.550049,1506.550049,6120429
28-01-2020,1508.599976,1510,1463.599976,1471.75,1471.75,11215313
29-01-2020,1474.050049,1494.400024,1464.050049,1479.849976,1479.849976,11313297
30-01-2020,1479,1479.699951,1440,1443.75,1443.75,10241756
31-01-2020,1453,1453.25,1407.199951,1411.650024,1411.650024,15886673
03-02-2020,1369.900024,1399.949951,1363.050049,1385.5,1385.5,14040626
04-02-2020,1400,1432.5,1397.800049,1426.400024,1426.400024,11604666
05-02-2020,1434.900024,1452.800049,1430.300049,1448.5,1448.5,8444823
06-02-2020,1454.099976,1467,1440.099976,1457.800049,1457.800049,7103715
07-02-2020,1451,1452.349976,1428.300049,1433.650024,1433.650024,5581641
10-02-2020,1428,1445.5,1410.449951,1435.599976,1435.599976,6922631
11-02-2020,1447.400024,1466.199951,1445.050049,1452.75,1452.75,6400245
12-02-2020,1456.150024,1474.849976,1455,1470.300049,1470.300049,6187091
13-02-2020,1477.75,1477.75,1462.599976,1474.150024,1474.150024,6201763
14-02-2020,1477.25,1501.449951,1453.099976,1487.599976,1487.599976,9704655
17-02-2020,1489,1506.150024,1474.300049,1478.25,1478.25,6011340
18-02-2020,1475.900024,1475.900024,1457.400024,1467.400024,1467.400024,5086964
19-02-2020,1479.349976,1506.449951,1475.099976,1503.800049,1503.800049,6438918
20-02-2020,1497,1508,1483.800049,1485.949951,1485.949951,7722577
24-02-2020,1469.75,1477,1439.550049,1444.949951,1444.949951,9769743
25-02-2020,1451.400024,1451.400024,1410,1416.400024,1416.400024,12684109
26-02-2020,1410,1412.349976,1387.349976,1392,1392,13423661
27-02-2020,1388,1393.800049,1369,1386.25,1386.25,11454300
28-02-2020,1354.900024,1357,1325,1328.650024,1328.650024,17973847
02-03-2020,1355.099976,1369,1301.099976,1316.150024,1316.150024,13486634
03-03-2020,1329.699951,1353.900024,1322,1342.849976,1342.849976,12525809
04-03-2020,1352,1353.800049,1307.900024,1339.699951,1339.699951,10105782
05-03-2020,1352.199951,1357.949951,1306,1311.150024,1311.150024,13948324
06-03-2020,1270,1288.150024,1241.099976,1271,1271,15422068
09-03-2020,1240.050049,1241,1095,1114.150024,1114.150024,40316138
11-03-2020,1108,1178.449951,1108,1153.550049,1153.550049,27237321
12-03-2020,1085,1101,1048.699951,1063,1063,25587823
13-03-2020,998,1140,942.400024,1105.300049,1105.300049,33509107
16-03-2020,1060.550049,1079.699951,1005,1015.700012,1015.700012,17592794
